worker	sentence	workeranswer
aggworker21	#0283	It helps to improve blood circulation.
aggworker22	#0283	It has a good function for our blood circulation.
aggworker4	#0283	It has a function to promote blood circulation.
aggworker6	#0526	Many contents were ready for use in class immediately.
aggworker2	#0526	The classes had a lot of content that will be useful in the future.
aggworker13	#0526	There were many contents that can be used for class immediately.
aggworker10	#0526	There was a lot of content that could be immediately applied to classes.
aggworker4	#0526	There were much content to be able to make use of in a class immediately.
aggworker23	#0527	There were many erotic scenes in the movie.
aggworker18	#0527	The movie had many erotic scenes.
aggworker16	#0527	The movie has many sensual scenes. 
aggworker5	#0527	This movie has lots of erotic scenes.
aggworker2	#0527	This movie had many erotic scenes.
aggworker24	#0221	 A discussion took place between the leftist and the rightist.
aggworker10	#0221	Leftists and dissidents held talks.
aggworker25	#0221	Leftists and dissidents held discussions.
aggworker12	#0221	The left wing party and the dissidents held a discussion.
aggworker13	#0221	Left wing and opponents had a discussion.
aggworker26	#0733	I felt that the person who passed me would actually become the winner.
aggworker4	#0733	I had impression that the person who was in front of me would win.
aggworker10	#0733	I felt that those who face reality will win.
aggworker2	#0733	I got the impression that the person in front of me would win.
aggworker12	#0733	I feel that the person in front of me wins.
aggworker27	#0364	It is prohibited to do below in receiving this service.
aggworker2	#0364	Don't do the following actions while providing this service.
aggworker25	#0364	In providing this service, the following acts are prohibited.
aggworker28	#0364	It is prohibited to do below in case of using this service.
aggworker15	#0364	In providing this service, the following acts are prohibited.
aggworker4	#0476	It's just the right balance if it stick out a little.
aggworker7	#0476	The balance is just right to stick out a little
aggworker25	#0476	The best balance is for it to stick out a little.
aggworker29	#0476	It is just right to stick out a little.
aggworker2	#0476	The right balance is having just a little bit of overflow.
aggworker17	#0336	The professor gave a keynote speech on this topic.
aggworker2	#0336	The professor delivered a keynote lecture on this theme.
aggworker5	#0336	The professor had a lecture about this topic with using keynote.
aggworker14	#0336	The professor gave a keynote speech on this theme
aggworker6	#0336	The professor had a keynote speech on this topic
aggworker30	#0042	You must have a passport with a certain period of validity remaining.
aggworker25	#0042	Passport with remaining validity is required.
aggworker4	#0042	It requires a certain remaining period of a passport.
aggworker9	#0042	Passports must be valid for a certain period of time.
aggworker16	#0042	You need a passport with certain valid periods.
aggworker31	#0265	The store is where we can reach one hour by car.
aggworker2	#0265	There is a shop about an hour away by car from here.
aggworker4	#0265	There is a shop in one hour by car.
aggworker15	#0265	There is a store in an hour's drive.
aggworker10	#0265	There is a store an hour's drive from here.
aggworker32	#0611	You can work in real time at any time.
aggworker25	#0611	You can work anytime you want in real time
aggworker10	#0611	You can work whenever you want.
aggworker2	#0611	You can work freely anytime.
aggworker12	#0611	In real time job,you can work freely and any time you want.
aggworker10	#0193	He will apply for preliminary consultation to the mayor.
aggworker2	#0193	He will apply for a prior consultation with the mayor.
aggworker28	#0193	He apply for prior consultation to the mayor
aggworker9	#0193	He will apply to the mayor for a pre-arrangement.
aggworker25	#0193	He will apply to the mayor for prior consultation.
aggworker6	#0626	Password can be easily changed
aggworker33	#0626	Its easy to changing your password.
aggworker2	#0626	You can easily change the password.
aggworker10	#0626	You can easily change your password.
aggworker11	#0626	You can change your password easily.
aggworker34	#0318	Dropouts are who has been a member for less than 15 years and is under 60 years of age.
aggworker9	#0318	A dropout is defined as a person who has been a member for less than 15 years and is under 60 years of age.
aggworker28	#0318	Dropouts are those who have been a part for less than fifteen years and are under the age of sixty.
aggworker18	#0318	The dropout is under 60 years old in the people who were the member between under 15.
aggworker11	#0318	Mid-term withdrawal refers to those who have been a member for less than 15 years and are under 60 years of age.
aggworker35	#0363	Our company set up the venue.
aggworker16	#0363	Our company will set up the venue.
aggworker28	#0363	Our Company set up the venue.
aggworker4	#0363	Our Company set up the venue.
aggworker2	#0363	Our company completed the setting up of the venue.
aggworker36	#0553	This material is almost similar nature to asphalt mixture.
aggworker37	#0553	 It has almost same performance with asphalt mixture.
aggworker5	#0553	This material works in much the same way as asphalt.
aggworker38	#0553	It has almost the same performance as asphalt mixture.
aggworker28	#0553	 It is, almost the same performance as an asphalt mixture
aggworker5	#0541	One software got two functions.
aggworker21	#0541	One software has both functions.
aggworker39	#0541	One software has both functions.
aggworker4	#0541	One software has both functions.
aggworker11	#0541	One software has both functions.
aggworker14	#0413	He saw a different work by this author in July.
aggworker5	#0413	He will find same auther's book in July.
aggworker40	#0413	He saw other works by this author in July.
aggworker28	#0413	He watched the work of this author in July.
aggworker11	#0413	He saw another work by this author in July.
aggworker29	#0396	We consider environmental issues and future directions.
aggworker4	#0396	Think about challenges and future directions about environmental issues.
aggworker11	#0396	Think about environmental issues and future directions.
aggworker18	#0396	We think about allocation and a future direction about an environmental problem
aggworker21	#0396	We think about environmental issues and future directions.
aggworker21	#0029	He set that deadline at less than a year.
aggworker41	#0029	He set a deadline for submitting the plan within a year.
aggworker18	#0029	He decided that a plan must submit it within one year.
aggworker42	#0029	He has the deadline which he has to submit the plan within one year.
aggworker11	#0029	He set a deadline for submission of the plan within one year.
aggworker43	#0111	When I was making dinner and sweets, he helped me.
aggworker28	#0111	He help cocking dinner and sweets together
aggworker1	#0111	He helps me prepare dinner and making sweets.
aggworker14	#0111	He helps me with cooking dinner and making sweets.
aggworker2	#0111	He helps with cooking dinner and making sweets together.
aggworker44	#0386	All that remains is what the readers think.
aggworker7	#0386	Now it's up to the reader to decide what he or she thinks
aggworker4	#0386	The rest is what the people who read it think.
aggworker45	#0386	It's all up to the reader how they feel about it.
aggworker18	#0386	It is important that a reader thinks after all.
aggworker3	#0374	He will take the predetermined entrance examination in advance.
aggworker4	#0374	He will do the predetermined entrance examination in advance.
aggworker7	#0374	He will screen for pre-admission eligibility.
aggworker15	#0374	He conducts the prescribed entrance qualification test in advance.
aggworker18	#0374	He checks the qualification that it was appointed in the school.
aggworker2	#0066	Our staff will assist you in creating your work.
aggworker7	#0066	The staff will support the creation of the work.
aggworker46	#0066	We can heip your work.
aggworker18	#0066	The staff helps you to make your work.
aggworker4	#0066	Our staff will help you with your work.
aggworker2	#0359	That program automatically conducts stock trading.
aggworker4	#0359	The program automatically buys and sells stocks.
aggworker6	#0359	The program will automatically buys and sell stocks
aggworker13	#0359	The program automatically buys and sells stocks.
aggworker10	#0359	The program will automatically buy and sell stocks.
aggworker25	#0558	It has a lot to do with our lives.
aggworker17	#0558	It has a lot to do with our lives.
aggworker44	#0558	That is closely related to our lives.
aggworker42	#0558	It has a strong relation to our life.
aggworker9	#0558	It has a lot to do with our lives.
aggworker41	#0335	He had a 18 minute presentation on that title.
aggworker14	#0335	He gave a 18 minute presentation with this title.
aggworker2	#0335	He announced for eighteen minutes on the title.
aggworker11	#0335	He gave an 18-minute presentation on that title.
aggworker10	#0335	He gave an 18-minute presentation on that title.
aggworker4	#0344	He will practice for an hour and a half in the gymnasium.
aggworker18	#0344	He seems to practice it by a gym for one and a half hours.
aggworker11	#0344	He practices for an hour and a half in the gym.
aggworker5	#0344	He practiced in the gym for about an hour and a half.
aggworker47	#0344	He plans to practice for an hour and a half in the gym.
aggworker11	#0536	It means a lot to Yamada.
aggworker2	#0536	That holds great significance for Mr. Yamada.
aggworker15	#0536	That has great meaning for Yamada.
aggworker48	#0536	That means a lot to Yamada.
aggworker21	#0536	It means a lot to Yamada.
aggworker7	#0220	Most have action training
aggworker17	#0220	Most people have received this training.
aggworker2	#0220	Most people have received actual training.
aggworker21	#0220	Most people train for the action.
aggworker23	#0220	Most people are trained in action.
aggworker5	#0284	We definitely are required to maintain confidentiality
aggworker11	#0284	Of course, we have a duty of confidentiality.
aggworker21	#0284	Of course, We have a confidentiality agreement.
aggworker9	#0284	Of course, we have a confidentiality obligation.
aggworker49	#0284	Of course we have a duty of confidentiality.
aggworker15	#0562	He has two things that she likes.
aggworker9	#0562	He has two things which she likes.
aggworker17	#0562	He has two things that she finds attractive.
aggworker41	#0562	He has two things that she likes.
aggworker14	#0562	He has two things that she likes.
aggworker12	#0298	Most islands surely possess such a thing.
aggworker4	#0298	There is one such thing in most islands.
aggworker16	#0298	Most islands have one such thing.
aggworker25	#0298	Most islands have one like that.
aggworker2	#0298	Most of the islands have such things.
aggworker18	#0532	As for it, there is enough power to influence sales.
aggworker23	#0532	It has the power to influence sales.
aggworker2	#0532	It has sufficient power to influence sales significantly.
aggworker28	#0532	 It affects enough to control sales amounts.
aggworker5	#0532	This has the effect of increasing sales
aggworker6	#0564	It has a very useful for deodorant.
aggworker2	#0564	It exhibits excellent deodorizing effects, much like poppies.
aggworker50	#0564	It is quite effective in deodorizing.
aggworker42	#0564	It smells good as a deodorant.
aggworker25	#0564	It is very effective in deodorizing effect.
aggworker5	#0309	The eighty percent of restaurants offer homemade noodles.
aggworker3	#0309	It seems that approximately 80% of shops is using homemade noodles.
aggworker17	#0309	It seems that 80% of the restaurants use homemade noodles.
aggworker18	#0309	80% of all shops seem to use the noodles of the home brew.
aggworker14	#0309	It seems that 80% of the restaurants use homemade noodles.
aggworker6	#0273	There is still time until the appointment time.
aggworker21	#0273	There is still time before the meeting.
aggworker7	#0273	There is still time before the meeting time
aggworker11	#0273	There is still time until the meeting time.
aggworker51	#0273	There still is some time before the meeting starts.
aggworker52	#0350	Customers are always asked to confirm their orders.
aggworker37	#0350	I confirm order contents towards the order by all means.
aggworker11	#0350	We will confirm the details of your order.
aggworker18	#0350	We ask you it to check your order.
aggworker16	#0350	We will always confirm the order details to the customer.
aggworker18	#0717	I received the report which said that the activity of the public vehicle priority system began.
aggworker4	#0717	I received a report that the operation of Public Transportation Priority System had been started.
aggworker36	#0717	 I received a report that the operation of Public Transportation Priority System had been started.
aggworker25	#0717	I have received reports that the official vehicle priority system has begun to be used.
aggworker42	#0717	I received a report that Public Transportation Priority System has started.
aggworker7	#0099	Only available to those who secretly enjoy disguising themselves as women.
aggworker17	#0099	This is aimed at people who secretly enjoy cross-dressing.
aggworker18	#0099	People enjoying that I let a woman camouflage it secretly use this.
aggworker11	#0099	This is for people who secretly enjoy cross-dressing.
aggworker53	#0099	 It is targeted for men to disguise secretly in woman's clothes.
aggworker53	#0585	He was dressed all in leather and had a camera in his hand.
aggworker5	#0585	He was dressed head to toe in leather and had a camera in his hand.
aggworker14	#0585	He was wearing leather clothes and holding a camera.
aggworker2	#0585	He was wearing a full leather outfit and holding a camera.
aggworker4	#0585	He was dressed all in leather and carried a camera in his hand.
aggworker54	#0074	Children's representatives expressed their gratitude to their parents and grandparents.
aggworker18	#0074	The representative from children said hello to their parents and grandparents
aggworker4	#0074	The representative of the children expressed thanks words for their parents and grandparents.
aggworker9	#0074	The children's representatives expressed their gratitude to their parents and grandparents.
aggworker13	#0074	Representatives of the children expressed their gratitude to their parents and grandparents.
aggworker0	#0681	A Directory access error has occurred.
aggworker2	#0681	A directory access error has occurred.
aggworker28	#0681	It says that we have a directry access errer.
aggworker55	#0681	Directory access error has occurred.
aggworker5	#0681	The directory access error occurs.
aggworker49	#0308	Mr. Yamada said, ``That's a relief.''
aggworker28	#0308	Yamada told me as relieved.
aggworker5	#0308	Mr. Yamada told me that he was relieved.
aggworker9	#0308	Mr. Yamada said to me, ""I feel relieved"".
aggworker10	#0308	Mr. Yamada said to me with relief.
aggworker2	#0038	I live with people with dementia.
aggworker18	#0038	The people suffering from dementia are life together.
aggworker56	#0038	People with dementia live together.
aggworker28	#0038	People with dementia live together.
aggworker14	#0038	People with dementia living together
aggworker11	#0710	It is influenced by Mediterranean culture.
aggworker2	#0710	It is influenced by Mediterranean cultures and so on.
aggworker9	#0710	It is influenced by Mediterranean culture and other influences.
aggworker10	#0710	It is influenced by Mediterranean culture.
aggworker57	#0710	It is influenced by the Mediterranean culture, etc.
aggworker10	#0566	Some volatile substances have germination inhibitory effects.
aggworker9	#0566	Certain volatiles have germination inhibitory effects.
aggworker49	#0566	Some volatile substances can inhibit germinatin.
aggworker28	#0566	Certain volatile substances prevent germinations.
aggworker58	#0566	A certain volatile substance has a germination inhibiting action
aggworker2	#0716	He receives explanations about the class content from Professor Yamada.
aggworker28	#0716	He receives an explanation of the class from teacher Yamada.
aggworker25	#0716	He received an explanation about the content of the class from Mr. Yamada.
aggworker10	#0716	He received an explanation of the lesson content from Mr. Yamada.
aggworker11	#0716	He receives an explanation of the lesson content from Mr. Yamada.
aggworker23	#0173	A consumer applies for membership at a credit card company.
aggworker59	#0173	The customer applies for a credit card.
aggworker5	#0173	 The consumer applied for membership at a credit card company
aggworker9	#0173	Consumer applies for membership with a credit card company.
aggworker28	#0173	Consumeres subsvribes to credit card company.
aggworker18	#0622	The treatment of the patients with chronic pain and pain of cancer is available
aggworker45	#0622	It is possible to treat patients with chronic pain and cancer pain.
aggworker23	#0622	We can treat chronic pain and cancer pain.
aggworker28	#0622	Chronic pain, Can treat patients with cancer pain
aggworker60	#0622	Patients with chronic pain or cancer can be treated.
aggworker28	#0384	I'm thinking about two ways specifically.
aggworker56	#0384	I have two specific ideas.
aggworker14	#0384	Specifically, I will consider two methods.
aggworker61	#0384	I'm thinking of two specific methods.
aggworker49	#0384	Specifically, two methods come to mind
aggworker62	#0705	If you wish to place an advertisement, you will need permission from the Mayor in advance.
aggworker25	#0705	You need prior permission from the mayor for advertising.
aggworker2	#0705	If you plan to publish advertisements, prior approval from the mayor is required.
aggworker56	#0705	Permission from the mayor is required to place advertisements.
aggworker28	#0705	The permission from a mayor is required when advertisements are issued.
aggworker25	#0744	It is favored by women in their 30s.
aggworker2	#0744	It receives a lot of support from women in their thirties.
aggworker9	#0744	It has gained a lot of support from women in their 30s.
aggworker49	#0744	We have received a lot of support from women in their 30s.
aggworker59	#0744	It is directed and popular among many women in their 30s.
aggworker10	#0646	 We headed home very satisfied.
aggworker2	#0646	We went home very satisfied.
aggworker55	#0646	Everyone was very satisfied and went home.
aggworker59	#0646	We went home very satisfied.
aggworker18	#0646	We were satisfied with an emergency and arrived at the way back.
aggworker38	#0548	Many people have negative image for that word.
aggworker5	#0548	Many people have a negative impression toward the word.
aggworker28	#0548	Many people have bad images to the word.
aggworker26	#0548	A lot of people have quite a negative impression of the word.
aggworker49	#0548	Many people probably have a very negative image of this word.
aggworker10	#0079	I called and asked so many companies.
aggworker3	#0079	I made calls to many companies to ask for a favor.
aggworker25	#0079	I called many companies and requested.
aggworker11	#0079	I called and asked quite a few companies.
aggworker63	#0079	I called and asked so many companies.
aggworker18	#0462	He looked at the computer screen beyond a shoulder of Yamada.
aggworker63	#0462	He looked over Yamada's shoulder at the computer screen.
aggworker10	#0462	He looked over Yamada's shoulder at the computer screen.
aggworker25	#0462	He looked over Yamada's shoulder at the PC screen.
aggworker2	#0462	He was looking at the computer display over Yamada's shoulder.
aggworker64	#0357	Automatic calculation of time to finish.
aggworker56	#0357	The end time will be calculated automatically.
aggworker2	#0357	It automatically calculates the end time.
aggworker49	#0357	It will automatically calculate the end time.
aggworker25	#0357	It calculates the end time automatically.
aggworker18	#0747	Many people achieve the benefit of service
aggworker59	#0747	Many people have benefited from the service.
aggworker28	#0747	Many people benefit from the service.
aggworker17	#0747	Many people benefit from the service.
aggworker48	#0747	Many people benefit from the service.
aggworker41	#0018	I feel like that it is a waste of time if it takes fifty hours.
aggworker65	#0018	I feel wasting the time for me to take 50 hours.
aggworker48	#0018	It would be a waste of time if it takes 50 hours.
aggworker3	#0018	I think it is a waste of time if it takes fifty hours.
aggworker63	#0018	I think it's a waste of time if it takes 50 hours.
aggworker2	#0692	Sometimes such people appear on television programs.
aggworker56	#0692	I sometimes see people like this on TV.
aggworker28	#0692	Sometimes such person appears on televition.
aggworker9	#0692	Sometimes such people appear on TV shows.
aggworker5	#0692	People like this are often seen on TV programs.
aggworker59	#0279	Mr. Yamada spoke of a very difficult event.
aggworker28	#0279	Mr.Yamada said that he had a hard time.
aggworker38	#0279	 Yamada told he had a hard time.
aggworker9	#0279	Mr. Yamada said he had a very difficult experience.
aggworker41	#0279	We heard that Mr. Yamada had a hard time.
aggworker17	#0383	I always think about that.
aggworker55	#0383	I always think about such a thing.
aggworker28	#0383	I think always all of the time.
aggworker44	#0383	I always think about such things.
aggworker2	#0383	I am always thinking about such things.
aggworker60	#0244	It is very effective in preventing tooth decay.
aggworker28	#0244	It is very effective in preventing tooth decay
aggworker13	#0244	It is very effective in preventing cavities.
aggworker5	#0244	It is very effective in preventing tooth decay.
aggworker9	#0244	It is extremely effective in preventing tooth decay.
aggworker28	#0288	At the committee, it is reported to that we would like to complete it in this fiscal year.
aggworker60	#0288	The committee decided that the report should be compiled by the end of this year.
aggworker18	#0288	In a committee, it is reported that I want to complete it in this fiscal year.
aggworker49	#0288	The committee's report said it hoped to complete the project by the end of this year.
aggworker56	#0288	The committee has reported that it hopes to complete the project by the end of this year.
aggworker56	#0143	He kissed her good morning.
aggworker2	#0143	He gives her a morning kiss on the lips.
aggworker9	#0143	He placed a good morning kiss on her lips.
aggworker5	#0143	he kissed her good morning kiss.
aggworker28	#0143	He gives a good morning kiss on her lips.
aggworker33	#0361	He provides management consulting service to small companies.
aggworker25	#0361	He provides management consulting to small and medium-sized businesses.
aggworker2	#0361	He provides business consulting services for small and medium-sized enterprises.
aggworker28	#0361	He conducts management consulting services for small and medium enterprises
aggworker56	#0361	He does management consulting work for small and medium-sized businesses.
aggworker66	#0745	He was awarded the Disaster Prevention Contributor Award by the Prime Minister.
aggworker28	#0745	He received recognition from the Prime Minister as a disaster prevention worker.
aggworker25	#0745	He receives the Prime Minister's Award for Disaster Reduction from the Prime Minister.
aggworker2	#0745	I received commendation for disaster prevention efforts from the Prime Minister.
aggworker56	#0745	He received the Disaster Prevention Award from the Prime Minister.
aggworker44	#0702	We regularly undergo inspections by a local government institution.
aggworker28	#0702	We are regularly inspected by local authorities.
aggworker18	#0702	I receive the test of the local government apropos.
aggworker49	#0702	Our company is regularly inspected by local government agencies.
aggworker56	#0702	We are regularly inspected by local authorities.
aggworker67	#0204	Someone who knows nothing about house construction makes such calculations.
aggworker2	#0204	Those who are unfamiliar with home construction would make such calculations.
aggworker14	#0204	The person who know nothing about building houses do calculations like this.
aggworker28	#0204	A person who does not know about home making makes such calculations
aggworker56	#0204	People who don't know how to build a house will probably do calculations like this.
aggworker49	#0067	The aim is to raise the level of health checkups through the development of medical research and the improvement of clinical standards.
aggworker8	#0067	Aiming to develop clinical research and improve the level of medical care.
aggworker11	#0067	The purpose is to develop clinical research and improve the level of medical care.
aggworker18	#0067	The aim is for the development and the improvement of the clinical level of the medical study.
aggworker2	#0067	Our purpose is to advance clinical research and elevate the standard of healthcare.
aggworker3	#0015	I always prefer his rank to be higher than me.
aggworker18	#0015	As for me, the top wants to always have him
aggworker68	#0015	I want him to always be valued more than me.
aggworker56	#0015	I want him to always be better than me.
aggworker7	#0015	I have always respected him and hope he stays that way.
aggworker41	#0761	I really don't need a wheelchair at all.
aggworker14	#0761	I don't need a wheelchair at all.
aggworker56	#0761	I don't need a wheelchair.
aggworker59	#0761	I don't need to use a wheelchair.
aggworker48	#0761	I don't need a wheelchair at all.
aggworker2	#0135	Many people were taking commemorative photos.
aggworker11	#0135	Many people took commemorative photos.
aggworker56	#0135	Many people were taking commemorative photos.
aggworker28	#0135	Many people took a commemorative photo
aggworker14	#0135	Many people took commemorative photos
aggworker19	#0158	This contract is made by the shopping company.
aggworker28	#0158	The shopping company will do that contract
aggworker9	#0158	The shopping company will handle that contract.
aggworker2	#0158	The shopping company will proceed with the contract.
aggworker15	#0158	The shopping company signs the contract.
aggworker69	#0704	She had surgery for breast cancer at the university hospital five years ago.
aggworker28	#0704	She underwent surgery for breast cancer at university hospital five years ago
aggworker25	#0704	She had breast cancer surgery at university hospital five years ago.
aggworker18	#0704	She received a breast cancer operation in a university hospital five years ago
aggworker11	#0704	She underwent surgery for breast cancer at a university hospital five years ago.
aggworker15	#0278	There are many famous autumn leaves spots across the country that are used as Nohgaku performances.
aggworker48	#0278	There are many famous spots for fall leaves all over the our country, that have provided the setting for Japanese culture Noh dramas.
aggworker18	#0278	Therefore it is many places of the country, and the mark of colored leaves is a stage of the ability
aggworker6	#0278	There are a lot of autumn leaves places is the stage of Noh music
aggworker2	#0278	In our country, there are many renowned autumn foliage spots that have served as stages for the traditional Japanese performing art 'Noh'.
aggworker13	#0268	I have an image that Japanese food is safe.
aggworker25	#0268	I have the impression that Japanese food is safe.
aggworker2	#0268	Regarding to Japanese food, I have a positive impression of its safety.
aggworker14	#0268	I have a safe image about Japanese food.
aggworker11	#0268	I have a safe image of Japanese food.
aggworker6	#0414	 you should see more detail on preschool educations products.
aggworker17	#0414	Learn more about early childhood education products.
aggworker25	#0414	View details of early childhood education related products.
aggworker10	#0414	Learn more about early childhood education products.
aggworker28	#0414	Read more on preschool educations products.
aggworker11	#0394	We are thinking of 4th December as a plan.
aggworker14	#0394	I'm planning on December 4th.
aggworker56	#0394	It is scheduled for December 4th.
aggworker10	#0394	It is scheduled for December 4th.
aggworker6	#0394	I am planning on December 4th
aggworker28	#0100	Those who are interested in Africa exchange their information and opinions.
aggworker8	#0100	People interested in Africa exchange information and opinions.
aggworker11	#0100	People interested in Africa exchange information and opinions.
aggworker18	#0100	The people who are interested in Africa change information and an opinion.
aggworker9	#0100	People interested in Africa exchange information and opinions.
aggworker18	#0584	Many people have time required for meditateing.
aggworker28	#0584	Most people had a time to meditate
aggworker17	#0584	Many people took time for meditation.
aggworker56	#0584	Most people spent time meditating.
aggworker2	#0584	Many people were dedicating time to meditation.
aggworker26	#0407	The cows stare at us with their big eyes.
aggworker11	#0407	Cows stare at us with their big eyes.
aggworker2	#0407	Cows are gazing at us with their big eyes.
aggworker48	#0407	The cows gaze at us with big eyes
aggworker69	#0407	The cows stare at us with their big eyes.
aggworker34	#0256	That has absolutely nothing to do with being friends or not.
aggworker2	#0256	It has nothing to do with whether we become friends or not.
aggworker56	#0256	That has nothing to do with friendship.
aggworker9	#0256	It has nothing to do with the decision to include them in the group.
aggworker14	#0256	 It has nothing to do with whether or not to be a group.
aggworker28	#0620	Actually you can experience ramen noodle making.
aggworker9	#0620	You can actually experience making ramen.
aggworker18	#0620	You can make yourself for ramen.
aggworker17	#0620	You can actually experience making ramen.
aggworker55	#0620	Actually you can experience making ramen.
aggworker56	#0326	He mainly conducts research on improving processing technology.
aggworker28	#0326	He does improvement study of processing technologies mainly.
aggworker45	#0326	He is in charge of research on improving processing technology.
aggworker2	#0326	He mainly conducts research on the improvement of processing techniques.
aggworker25	#0326	He is primarily responsible for research on improving processing techniques.
aggworker70	#0240	many college student has part time job.
aggworker28	#0240	Many students, work part-time.
aggworker18	#0240	Many students work as a parttimer.
aggworker40	#0240	Many students work part-time.
aggworker5	#0240	Many students are working part-time.
aggworker6	#0011	I think that the movie is from era of early Showa.
aggworker2	#0011	I think that movie is from the early Showa era.
aggworker55	#0011	I think that the movie is on early Showa era.
aggworker56	#0011	The movie is from the early Showa period.
aggworker28	#0011	I think it is a movie of early Showa era
aggworker28	#0782	No cultuer in Japan growing identity
aggworker18	#0782	There is still no mental culture to still promote self-government in Japan
aggworker43	#0782	Japan does not have a culture of self-expression.
aggworker56	#0782	Japan does not have a culture that fosters identity.
aggworker9	#0782	Japan does not yet have a spiritual culture that fosters independence.
aggworker71	#0353	The city hall distributes administrative documents for a fee.
aggworker11	#0353	City Hall distributes administrative documents for a fee.
aggworker25	#0353	City office distributes administrative materials for a fee.
aggworker10	#0353	City hall distributes administrative documents for a fee.
aggworker61	#0353	In the City Hall, administrative materials are distributed for a fee.
aggworker40	#0572	Our company has over 30 years of experience in many entertainment and commercial facilities.
aggworker14	#0572	Our company has over 30 years of experience in amusement commercial facilities.
aggworker13	#0572	Our company has over 30 years experience in many entertainment facilities and commercial facilities.
aggworker2	#0572	Our company has over 30 years of experience in entertainment facilities and commercial establishments.
aggworker28	#0572	We have results in more than 30 in many entertainment facilities and commercial establishment
aggworker53	#0332	We support someone who need to nurse with daily life.
aggworker61	#0332	We support the daily lives of those who require nursing care.
aggworker2	#0332	We provide support for daily living to those in need of care.
aggworker28	#0332	We help the everyday life in necessary care.
aggworker25	#0332	We provide daily life support for those who require nursing care.
aggworker25	#0052	Second year junior high school students participated in work experience.
aggworker2	#0052	Eighth-grade students had a workplace experience.
aggworker10	#0052	Second year junior high school students had work experience.
aggworker49	#0052	Second year junior high school students participated in workplace experience.
aggworker12	#0052	A second year high school student had a working experience.
aggworker0	#0545	There are both masculine characteristic and feminine characteristics to a tree.
aggworker49	#0545	Trees have both male and female characteristics.
aggworker18	#0545	The tree has the character of the man and woman.
aggworker12	#0545	A tree has male and female characteristic in one.
aggworker14	#0545	A tree has characteristics of both male and female
aggworker25	#0561	Each has its own unique characteristics.
aggworker2	#0561	Everyone has their own unique characteristics.
aggworker14	#0561	Each has its own characteristics.
aggworker12	#0561	Each person has their own personality.
aggworker49	#0561	Each person has their own unique personality
aggworker49	#0724	We have already received over 1000 inquiries from all over the country.
aggworker14	#0724	I have already received over 1000  case from all over Japan.
aggworker11	#0724	I have already received over 1000 consultations from all over the country.
aggworker10	#0724	I have already received over 1000 consultations from all over the country.
aggworker17	#0724	We have already received over 1000 inquiries from all over the country.
aggworker50	#0209	A person with talent usually hides their best abilities.
aggworker19	#0209	A cunning person pretends to be a fool.
aggworker18	#0209	The smart person pretends to be a stupid general
aggworker26	#0209	A clever person pretends to be a fool and acts as the leader.
aggworker2	#0209	A wise man pretends to be a foolish leader.
aggworker10	#0070	Committee members held a greeting activity.
aggworker25	#0070	Committee members held a greeting campaign.
aggworker12	#0070	Committee members did a greeting campaign.
aggworker49	#0070	Members of the committee conducted greeting activities.
aggworker61	#0070	Committee members did a greeting campaign.
aggworker49	#0151	If you live in Europe, you cannot purchase the product.
