sentence	sentence_in_source_language_Japanese	sentence_in_target_language_English
368	この コーヒー は 熱 すぎ て 私 に は 飲め な い 。	this coffee is so hot that i can 't drink it .
389	この 本 と あの 本 と どっち が やさし い ？	which is easier to read , this book or that one ?
401	その 映画 は 大当たり し た 。	the movie was a big draw at the box office .
418	彼 は 少年 の ころ とても わんぱく だっ た 。	he was very naughty when he was a little boy .
423	かっと な る な 。 君 の ため に な ら な い よ 。	don 't get angry . it won 't help you .
491	今週 は し な けれ ば な ら な い こと で いっぱい だ 。	i 've got a lot of things to do this week .
499	日本 語 版 が あ っ たら い い な 。	it would be great if there was a japanese edition .
502	払 う 金 が あ れ ば 、 払え る の だ が 。	if i had money enough , i could pay you .
530	お 目 に かか れ て 大変 光栄 で す 。	it 's a great honor to be able to meet you .
531	何 が 起こ っ て も 、 私 は 驚 き ま せ ん 。	no matter what happens , i won 't be surprised .
539	試験 が な けれ ば 、 学生 生活 は もっと 楽し い だ ろ う 。	but for exams , our school life would be more fun .
570	私 は 健康 で い られ る 間 は 生き て いた い 。	i want to live as long as i can stay in good health .
598	彼女 の 言 う こと は 必ず 注意 書き を 取 っ て くださ い 。	be sure to take a note of what she says .
608	６ 時発 の ニューヨーク 行き の 列車 に 乗 り た い の で す 。	i want to catch the six o 'clock train to new york .
609	電話 が 鳴 っ た 時 、 私 達 は 外出 する ところ だっ た 。	we were all set to leave when the phone rang .
610	小さな 庭 つき の 家 を 探 し て くれ ま せ ん か 。	could you find me a house that has a small garden ?
617	毎日 何 時間 昼寝 し ま す か 。	how many hours do you take a nap every day ?
621	天気 予報 だ と 午後 は 雨 で す よ 。	the weatherman says we 'll have rain in the afternoon .
641	本当 は 気 が すす ま な い ん だ 。	the thing is , i don 't really want to .
642	こんな 時 は 、 迎え 酒 に 限 り ま す 。	in times like this , there 's nothing like a hair of the dog .
644	昨夜 駅 の 近く で 火事 が あ っ た 。	there was a fire near the train station last night .
654	私 は その 街 の 丘 の 上 の ホテル に 泊ま っ た 。	i stayed at a hotel on a hill in that town .
655	彼 が いつ 来る の か はっきり し な い 。	i don 't know for certain when he will come .
659	もし １００ 万 ドル あ れ ば 、 どう し ま す か 。	what would you do , if you had a million dollars ?
666	雨 の ため に 試合 を 中止 せ ざる を 得 な かっ た 。	we had to call off the game because of rain .
672	彼 は 交通 事故 で 片目 の 視力 を 失 っ た 。	he lost the sight of one eye in a traffic accident .
683	年老い た スミス さん は 出来 る だけ お 金 を ため て い る 。	old mr smith is saving as much money as he can .
686	結局 これ で は 駄目 だ と だけ 言 っ て お こ う 。	suffice it to say that , after all , this won 't do .
691	彼 の 言 っ て る 事 を 理解 する の は 困難 だ 。	i found it difficult to understand what he was saying .
701	あなた が 私 の 立場 に い たら 、 何 を し ま す か 。	what would you do , if you were in my place ?
713	この 計画 が 成功 する か どう か まだ 分か ら な い 。	it is yet to be seen whether this plan will succeed or not .
720	第 一 に 飲食 に 注意 し な けれ ば な ら な い 。	in the first place , we must be careful about what we eat and drink .
727	もし 明日 雨 なら 試合 は 中止 で す 。	the game will be called off if it rains tomorrow .
732	私 たち は しばらく 歩 い た 後 で 、 湖 に 出 た 。	having walked for sometime , we came to the lake .
737	もし ご 質問 が あ れ ば お 知ら せ くださ い 。	if you have any questions , please let me know .
745	あなた は そんな に 急 い で 行 く 必要 は な い 。	you don 't need to go in such a hurry .
753	要 する に 金 が 必要 な ん だ 。 貸 し て くれ よ ！	in brief , i need money . please lend it to me !
769	手元 に １００ 万 円 あ る と し て み よ う 。	let 's make believe we have one million yen hand .
770	その 忙し い クラス で 私 の 声 は 通 ら な かっ た 。	i could not make myself heard in the noisy class .
773	彼 は すぐ 怒 る の で 嫌い だ 。	i don 't like him because he loses his temper easily .
779	昨夜 は テレビ を 見 な い で 英語 を 勉強 し た 。	i did not watch tv but studied english last night .
782	これ は 今 まで に 読 ん だ 中 で もっとも 難し い 本 だ 。	this is the most difficult book i have ever read .
796	庭 の 手入れ で も し よ う か な 。	why don 't i try to do something about the garden ?
809	今夜 は 明日 の 準備 を し な く ちゃ 。	tonight i 've got to do get ready for tomorrow .
812	１ 時間 も すれ ば 間違い な く 晴れ る だ ろ う 。	ten to one it 'll clear up in an hour or so .
822	母 は 若 い とき 、 とても 美し かっ た 。	when my mother was young , she was very beautiful .
823	その 生徒 は 先生 に 返事 すら し ま せ ん で し た 。	the student did not so much as answer the teacher .
825	戻 り ま し たら すぐ 電話 さ せ ま す 。	i will have him call you the moment he gets back .
826	彼 は 日曜日 に は よく 話 し に 来 た もの だっ た 。	he used to come here for a talk on sundays .
832	静か に して い さえ すれ ば 、 ここ に 居 て も よ い 。	you may stay here as long as you keep quiet .
833	以前 その 公園 の 近く に コーヒー ショップ が あ っ た 。	there used to be a coffee shop near the park .
834	彼女 は 長年 、 腰痛 で 困 っ て い る 。	she 's been having trouble with back pain for years .
839	後 ２ 分 も 早 かっ たら 、 バス に 乗れ た の に 。	if you had come only two minutes earlier , you could have caught the bus .
841	私 の 家 は 駅 から 少し 離れ た ところ に あ り ま す 。	my house is located at a distance from the station .
843	もし 明日 雨 なら ば 、 私 は 家 に い る つもり で す 。	if it rains tomorrow , i 'll stay at home .
864	私 は 学生 の 誰 に も 本 は 貸 さ な い 。	i don 't lend my books to any of the students .
869	この 写真 を よく 見 て 私 を 見つけ て ごらん 。	have a good look at this picture and find me in it .
870	そこ へ 行 く 途中 私 たち は 交代 で 運転 し た 。	we took turns driving our car on our way there .
873	彼 の 英作文 は ほとんど 誤り が な い 。	his english composition has few , if any , mistakes .
927	昨日 学校 へ 行け な かっ た に は 病気 だっ た から で す 。	it was because i was ill that i couldn 't go to school yesterday .
939	次 におい で の 時 に 、 電話 を し て 下さ い 。	i will tell him the news as soon as i see him .
941	私 は 、 失敗 し な い よう に 、 一生 懸命 働 い た 。	i worked as hard as i could so i didn 't fail .
946	若 い とき に 本当 の 友人 を 見つけ る こと は 大切 だ 。	it is important to find true friends when you are young .
950	もし 君 が 私 たち を 助け て くれ る なら 、 大変 うれし い 。	if you will help us , we will be very glad .
960	どこ へ 行 っ て も 、 彼 は 必ず 友達 を 作 る 。	wherever he may go , he is sure to make friends .
1009	私 が 遅れ たら 先 に 行 っ て 下さ い 。	in case i am late , please go ahead of me .
1017	彼 に 連絡 を と る 手段 が 何 も な い 。	there is no means to get in touch with him .
1029	ニューヨーク へ 行 っ たら 訪ね る よ 。	i 'll look you up when i visit new york .
1042	万一 明日 雨 が 降 っ たら 、 私 たち は バス で 行 く 。	if it should rain tomorrow , we would go by bus .
1055	あなた が いっしょ に 来 て くださ る なら うれし い の で す が 。	i 'd be delighted if you 'd come with me .
