worker	sentence	label
hiroshi1624	173	He has been well off since he started this job.
hiroshi1624	697	It was not difficult to pretend to be my mother.
hiroshi1624	363	The thief ran toward the station.
cocomon	906	I am supposed to meet her in a few days.
cocomon	626	He started to cry as soon as he heard the news.  
cocomon	90	There is absolutely no chance that he goes to a movie.  
cocomon	610	It takes 20 minutes on foot from the station to the school.  
cocomon	917	He has not only a car but also a motorbike.  
cocomon	822	Please let me know how to get to his house.  
cocomon	927	I would never say that.  
cocomon	275	I decided to become a journalist.
cocomon	378	Because I don't want to see myself being at a loss.
cocomon	173	His life became easier since he started this job.
akkun1	781	To tell the truth, we got married last year.
akkun1	116	I can't agree with you regarding the new plan.
akkun1	671	He is known all people in the town.
akkun1	921	This car isn't better than before it.
akkun1	309	She had kindness to carry my baggage.
akkun1	728	He is late for school frequently.
akkun1	805	Make a note what her all words  perfectly.
akkun1	549	The newspaper is precious in today's world.
akkun1	256	I pay 1 dollar to you that is to solve the problem.
akkun1	393	Cycling tour is great fun.
narukai	708	The other day I met a girl at the park again.
narukai	137	Colud you tell me the way to the station.
narukai	104	The airplain arrived at airport in midnight from Chicago.
narukai	51	I go back at six everyday.
narukai	794	I used to living here for10years.
narukai	848	Colud you tell me to the ETA?
narukai	196	I don't know what she do next.
narukai	423	You will carry out the plan,won't you?
narukai	617	If you don't take care ,You get into a trouble.
narukai	444	The other day I met a classmate at the street.
Camy007	301	You can contact to him tonight at his home.
Camy007	87	I thought that I don't have to sit down.
Camy007	152	May was in a cold sweat by teater's wors.
Camy007	304	I showed just one star in the sky.
Camy007	864	Continue practicing, after tea time.
Camy007	128	Tom already has been talking for one hour by phone.
Camy007	542	He doesn't go to the cinema.
Camy007	305	There are a lot of fish in teh sea.
Camy007	840	You should talk to him.
Camy007	363	The thief went aaway to the station.
momokaooo	186	The time will arrive.
momokaooo	283	Don’t give the child more money than is needed.
momokaooo	315	You would have arrived on time if there was not a storm.
momokaooo	318	My friends wrote to visiting me.
momokaooo	893	It’s 11 o’clock, you should go to bed right now.
momokaooo	878	It is only him who has some talents in all of my friends.
momokaooo	788	In some periods, i couldn’t believe the other people.
momokaooo	646	It’s my rule to walk around every early morning.
momokaooo	745	It is my uncle who wave his hands to me.
momokaooo	415	Fortunately, he could get on a steam train.
c4nhnm	467	I'm happy that it is snowing a lot.
c4nhnm	667	I had never heard from him for 4 years. 
c4nhnm	801	I just went to the station to see my uncle off.
c4nhnm	555	We can swim at the beach because it's hot today.
c4nhnm	202	He was late for the class because of an accident.
c4nhnm	888	I found the book I lost yesterday.
c4nhnm	541	We happened to have a meeting that day.
c4nhnm	481	Confirm your reservation to the hotel. 
c4nhnm	916	It was too late to understand the difference.
c4nhnm	504	I put salt to my coffee by mistake.
cocomon	288	I cannot meet you due to an urgent job.  
cocomon	462	My pen is old.  I want to get a new one.
cocomon	834	I used to get up early and go to fishing on Sunday.  
cocomon	875	I am thinking to have John fix my watch.  
cocomon	439	I consider your way of thinking is out of date.
cocomon	853	You are not old enough to go swimming by yourself.  
cocomon	325	It would rain today.
cocomon	306	We came to a park after walking for few minutes.  
cocomon	429	Taking a bath is the best when you are tired.  
cocomon	380	Boys used to play pranks on their teacher.
hanahana55	95	I want you to tidy up the room quickly.
hanahana55	565	I will succeeded my father's work.
hanahana55	931	He told me to quit the company.
hanahana55	299	Do you think he can do that job?
hanahana55	655	Don't forget to wake me up at 6 a.m. tomorrow morning.
hanahana55	450	You can go to the station whichever way you take.
hanahana55	17	He was not home when I went to see him.
hanahana55	567	I stop working 2~3 hours because I have a doctor's appointment.
hanahana55	553	I'm getting a ticket right now.
hanahana55	22	I imagined her face at that time.
Kazumasa_Ichimura	624	He never follow what his father tells him.
Kazumasa_Ichimura	253	These two politicians met face by face for the first time.
Kazumasa_Ichimura	804	Japan has much rain in June.
Kazumasa_Ichimura	279	It was what she did not want to express in words.
Kazumasa_Ichimura	159	That dictionary is useful as well as reasonable.
Kazumasa_Ichimura	358	This is the exact book I was looking for.
Kazumasa_Ichimura	391	This winter is the coldest for the first time in 10 years.
Kazumasa_Ichimura	334	It is sure that an airplane will arrive there on time.
Kazumasa_Ichimura	220	I usually have two cups of coffee in the morning.
Kazumasa_Ichimura	910	I usually read through a newspaper before I have breakfast.
truenoAE101	123	When you read the book, put it in its original place.
truenoAE101	373	Before,like it was.
truenoAE101	712	Read such books as are useful to you.
truenoAE101	203	I am planning to go to New York next week.
truenoAE101	233	This is the most interesting story I have ever read.
truenoAE101	10	Let's go home before the rain gets stronger.
truenoAE101	697	It was not difficult to imitate my mother.
truenoAE101	33	She kindly showed me around the town.
truenoAE101	524	I do not want to go out without wearing the coat on such a cold day.
truenoAE101	261	It's heavy and I can not have it.
kos12	220	I take 2 coffee at morning always.
kos12	123	After you read the book, put it original place.
kos12	917	He has not only the bike but also the car.
kos12	186	The time is the time.
kos12	567	I interrupted the job in a few hours for going to see a doctor.
kos12	261	I cannot take it as its heavy.
kos12	467	I'm happy that snow falls a lot.
kos12	373	Like that it was like it in the past.
kos12	921	This car does not run well than before.
kos12	423	You are going to execute the plan.
kos12	380	Boys sometimes used to mischief the teacher.
kos12	22	I came to mind has face first.
kos12	916	It was too late to realize the difference.
kos12	279	It was the thing that she want not to say.
kos12	152	Mary broke into a cold sweat by teachers speech.
kos12	325	It will fall rain today.
kos12	159	The dictionary is useful, and not expensive as a bonus.
kos12	315	If it is not storming I would in time.
kos12	299	Do you think that he can the job.
kos12	481	Confirm whether you reserved the hotel room.
hanahana55	801	I just went to see my uncle off at the station.
hanahana55	51	I come home by 6 everyday.
hanahana55	804	It rains a lot in June in Japan.
hanahana55	745	A guy who is waving to me is my uncle.
hanahana55	840	It's better talk to him.
hanahana55	553	I'm getting a ticket now.
hanahana55	87	I thought I can't sit dow.
hanahana55	671	Everyone knows him in this town.
hanahana55	667	I haven't heard from him more than 4 years.
hanahana55	203	I am supposed to go to New York next week.
c4nhnm	617	If you don't pay attention, you might be gotten involved in a problem.
c4nhnm	565	I'm intending to work for his business.
c4nhnm	283	Do not give a child money more than enough.
c4nhnm	728	He is often late to school.
c4nhnm	555	We can swim in the ocean because it's hot today.
c4nhnm	788	There was a time, I couldn't believe other people.
c4nhnm	202	Harry was late to school because of an accident.
c4nhnm	95	I want you to clean the room.
c4nhnm	864	Continue practicing after drinking tea.
c4nhnm	358	This is the book I was looking for.
Camy007	90	He doesn't go to the cinema.
Camy007	781	In truth, we get married last year.
Camy007	128	Tom is calling for one hour.
Camy007	549	Newspaper is great useful in the world today news.
Camy007	253	The politicians met by faace-to-face for the first time.
Camy007	910	He always read newspaper before the breakfast.
Camy007	256	The problem solve, if I pay one dollar to you.
Camy007	893	Now is 11 PM, time to go to bed.
Camy007	137	Please teach me how to go to the station.
Camy007	275	I decide that I will become to journalist.
momokaooo	822	Please tell me the way to his house.
momokaooo	429	Taking bath is the best when you’re tired.
momokaooo	196	I don’t know at all what she is going to do.
momokaooo	646	It’s my rule to walk around every early morning.
momokaooo	304	I can’t see anything in the sky, just one star neither.
momokaooo	309	She carried my luggagea kindly.
momokaooo	173	He is well off after beginning this job.
momokaooo	848	How many days do you take for arrive?
momokaooo	450	You can take any ways for the station.
momokaooo	805	Please take a note during she speak.
toruDS	288	Because of urgent work, I can't meet up with you.
toruDS	610	It takes twenty minutes from that station to this school.
toruDS	626	He suddenly cried afrer listening to information.
toruDS	306	We came to park after taking a minute.
toruDS	393	It is fun that I travel by bicycle.
toruDS	378	I don't want to see myself that being at a loss.
toruDS	363	That thief escaped in the direction of station.
toruDS	888	I saw book that I lost yesterday.
toruDS	305	Many fish live in the sea.
toruDS	712	You should read useful books for you.
nanohana_hif	439	You regard my idea as old-fashioned.
nanohana_hif	104	The plane from Chicago arrived at the airpote late at night.
nanohana_hif	301	You can get in touch with him at his home tonight.
nanohana_hif	931	He told me that he wanted to leave the company.
nanohana_hif	624	He never takes any notice of what his father says.
nanohana_hif	524	I don't want to go out without a coat on such a cold day.
nanohana_hif	834	On Sunday, I would often get up early and go fishing.
nanohana_hif	794	It has been ten years since I came to live here.
nanohana_hif	708	I met again the girl who I had met in the park the other day.
nanohana_hif	233	This is the mont interesting book I've ever read.
nyantakun	875	I will ask John to repair my watch.
nyantakun	10	It's better going home before the rain starts heavier.
nyantakun	33	She guided the town for me.
nyantakun	462	I want new pen because it's old.
nyantakun	334	I'm sure the airplane will be landing on time.
nyantakun	391	It's really cold this winter since 10 years ago.
nyantakun	906	I supposed to meet her again in a few days.
nyantakun	541	I accidentally have a meeting on that day.
nyantakun	318	One of my friend sent me a letter to ask me I'm okay.
nyantakun	878	 He is most talented man in all my friends.
mekimeki	927	I do not mean to say to such a thing.
mekimeki	542	He does not go for a movie.
mekimeki	116	I cannot agree with you about the new plan.
mekimeki	444	I met a classmate the other day in a street.
mekimeki	697	It was not difficult to pretend to be mother.
mekimeki	853	You are not the age that is good to swim alone.
mekimeki	17	I went to meet him, but was away.
mekimeki	504	He put salt in coffee by mistake.
mekimeki	655	Please wake him up without forgetting it at 6:00 on the morning of tomorrow.
mekimeki	415	Fortunately he was in time for a train.
hanahana55	624	He never listen to his father.
hanahana55	305	There are plenty of fish in the sea.
hanahana55	415	Luckily, he was in time fo the train.
hanahana55	288	I can't meet you due to emergency work.
hanahana55	712	You should read a book which you can learn a lot from.
hanahana55	256	If I pay $1 to you , it's all done.
hanahana55	123	Put it back to the original place when you finish the book.
hanahana55	196	I have no idea what she wants to do.
hanahana55	220	I usually drink 2 cups of coffee every morning.
hanahana55	315	You should have been there in time if the storm didn't come.
cocomon	921	This car does not drive as good as it used to.
cocomon	325	It would rain today.
cocomon	667	It has been more than 4 years since we contacted each other last time.. 
cocomon	363	The thief ran away towards the station.  
cocomon	553	I am going to go to buy a ticket.  
cocomon	309	She kindly carried my stuff.
cocomon	378	Because I do not want to see myself miserable.
cocomon	137	Please tell me how to get to the station.
cocomon	541	It happens to be a meeting that day.  
cocomon	655	Please do not forget to wake me up at 6 AM tomorrow.
narukai	910	I usually look at the newspaper every morning.
narukai	524	I don't want go outside without coat.
narukai	253	 Two politicians met at first time.
narukai	358	This is a book  what my always searching！ 
narukai	261	I can't have it because too heavy to me.
narukai	152	Meary broke a cold sweat by teacher's words.
narukai	567	I interrupted my job for 2-3hours to go hospital.
narukai	504	He had mistake salt into the coffee.
narukai	671	He is very famous in the city.
narukai	853	You are so young that you can't swim alone.
momokaooo	90	He has no ideas to go to cinema.
momokaooo	864	Keep practicing after drinking the tea.
momokaooo	610	It takes 20 minutes to walk to the school from the station.
momokaooo	279	That is something that she didn’t want to say.
momokaooo	429	Taking bath is the best way when you’re tired.
momokaooo	444	One day, I met a classmate in the street.
momokaooo	697	It’s not difficult for me to pretend to be mother.
momokaooo	233	This is the most interesting story ever i read.
momokaooo	481	Please check if we had already booked one room in the hotel.
momokaooo	275	I made up my mind to become a journalist.
c4nhnm	306	We came to the park by walking few minutes.
c4nhnm	299	Do you think he can do the job?
c4nhnm	462	My pen is old. I want a new one.
c4nhnm	159	The dictionary is useful and inexpensive.
c4nhnm	840	You had better talk to him.
c4nhnm	794	It's been 10 years since I started living here.
c4nhnm	916	It is too late to know the difference.
c4nhnm	380	The boys sometimes played a prank to their teacher.
c4nhnm	33	It is kind of her to show the town for me.
c4nhnm	128	Tom has kept talking on the phone for an hour.
truenoAE101	927	Surely,I do not mean to say such a thing.
truenoAE101	393	It is fun to travel in a car.
truenoAE101	822	Please tell me the way to his house.
truenoAE101	626	As soon as he heard the news, he burst into tears.
truenoAE101	875	I will have John repair my watch.
truenoAE101	848	How long will it arrive?
truenoAE101	439	You regard my opinion as out of date.
truenoAE101	549	Newspapers are very valuable in the present world.
truenoAE101	805	Please be sure to take notes on what she says.
truenoAE101	203	I'm supposed to go to New York next week.
kusamakura	804	It rains a lot in June in Japan.
kusamakura	334	It is certain that the airplane arrive on time.
kusamakura	646	I make it a rule to walk early morning.
kusamakura	22	Her face came to my mind at first.
kusamakura	304	We didn't look at any stars in the sky.
kusamakura	834	I used to wake up early morning and go to fishing.
kusamakura	450	You can go to the station in any road.
kusamakura	51	I go back home untill six o'clock.
kusamakura	318	My friends sent me a letter asking how I was.
kusamakura	10	Let's go home before it rains hard.
nyantakun	542	He rarely go watch movies.
nyantakun	87	I thought I shouldn't sit.
nyantakun	917	He has a bike not only a car.
nyantakun	17	He was out of home when I try to see him.
nyantakun	906	We're planning to see each other again in the near future.
nyantakun	373	It seems like it should be long time ago.
nyantakun	116	I cannot agree with you regarding the new plan.
nyantakun	888	I found a book which  I thought I lost it yesterday.
nyantakun	202	Harry was late for the class due to the accident yesterday.
nyantakun	423	You are going to run the plan, right?
cocomon	617	Be careful, otherwise you get into trouble.  
cocomon	728	He is often late for school.
cocomon	781	We actually got married last year.  
cocomon	391	This is the coldest winter we have had in the past ten years.  
cocomon	893	It is 11 and is already bed time.
cocomon	878	He is the only person who is talented among my friends.  
cocomon	467	I am glad that it snowed a lot.  
cocomon	745	A person who is waving at me is my uncle.
cocomon	173	His life got easier since he started this job.
cocomon	95	I want you to hurry up and clean the room.  
Camy007	801	I went to the station to see off my uncle, just now.
Camy007	301	You can talk to him tonight at his house.
Camy007	283	You give only required money to the child.
Camy007	565	I will occupy my self in my father's business.
Camy007	104	I arrived at the airport by airplane from Chicago. 
Camy007	708	I met the girl in the park, whom I met her few days ago.
Camy007	186	Time is now to do it.
Camy007	788	I had the experiment that I didn't believe other persons.
Camy007	555	We can swim at the sea, today is hot day.
Camy007	931	He talked me that he wanted to retire.
c4nhnm	196	I have no idea what she is going to do.
c4nhnm	309	It was kind of her to help me carrying my stuff.
c4nhnm	10	Let's go home before the rain gets harder.
c4nhnm	393	It is fun to travel with a bicycle.
c4nhnm	553	I'm going to get my ticket quickly.
c4nhnm	848	How long does it take to get there?
c4nhnm	220	I drink 2 cups of coffee in the morning.
c4nhnm	391	The coldness of this winter is after 10 years.
c4nhnm	423	Are you intend to enforce the plan?
c4nhnm	804	It rains a lot in June in Japan.
momokaooo	555	Today is so hot that we can swim in the sea.
momokaooo	667	It has been more than 4 years without any contacts.
momokaooo	301	You can contact him tonight in his house.
momokaooo	358	This is the book I was looking for 
momokaooo	305	We have many fishes in the sea.
momokaooo	256	We can get liquidation if you paid one dollar for me.
momokaooo	549	The newspaper is very valuable today.
momokaooo	325	It will be raining today.
momokaooo	906	I’m going to see her soon.
momokaooo	822	Please tell me the way to his house.
mariko5331	712	Read the book that is useful for you.
mariko5331	299	Do you think he can complete the work.
mariko5331	626	He started to cry as soon as he heard the news.
mariko5331	152	Mary break into a cold sweat with the word her teacher said.
mariko5331	921	This car works worse than before.
mariko5331	481	Confirm that the room was reserved with the hotel.
mariko5331	429	It is the best to take a bath when you are tired . 
mariko5331	116	I cannot agree with you about the new plan.
mariko5331	186	What will be, will be.
mariko5331	888	I found the book I lose yesterday.
mekimeki	617	It is rolled up in a problem when not careful.
mekimeki	283	Do not hand money more than required to a child.
