sentence	sentence_in_source_language_Japanese	sentence_in_target_language_English
283	必要 以上 の お 金 を 子供 に 渡 す な 。	do not hand over more money than is necessary to a child .
288	差し迫 っ た 仕事 の ため に お 会 い でき ま せ ん 。	i can 't see you due to the press of business .
299	彼 に その 仕事 が でき る と 思 い ま す か 。	do you think that he is equal to the task ?
301	あなた は 今 晩 彼 の 家 で 彼 と 連絡 が 取れ る 。	you can get in touch with him at his home tonight .
304	空 に は 星 １ つ 見え な かっ た 。	not a star was to be seen in the sky .
305	魚 は 海 に は いくら で も い る 。	there are as good fish in the sea now as ever .
306	数 分歩 い て 私 達 は 公園 へ 来 た 。	a few minutes ' walk brought us to the park .
309	彼女 は 親切 に も 私 の 荷物 を 運 ん で くれ た 。	she was kind enough to carry my baggage for me .
315	もし あらし で な かっ たら 間に合 っ て い た だ ろ う に 。	if it hadn 't been for the storm , we would have been in time .
318	友人 が 、 私 は 元気 か と たずね る 手紙 を くれ た 。	my friend sent me a letter asking how i was .
325	今日 は 雨 が 降 る で しょ う 。	it is supposed to rain today , isn 't it ?
334	飛行 機 が 時間 通り に そこ に 着 く の は 確か だ 。	it is certain that the plane will reach there on time .
358	これ こそ 私 が 探 し て い た 本 だ 。	this is the very book i have been looking for .
363	泥棒 は 駅 の ほう へ 逃げ て 行 っ た 。	the thief ran away in the direction of the station .
373	昔 、 その よう で あ っ た みたい に 。	once again she was lived in and taken care of .
378	もう 途方 に くれ た 自分 を 見 た く な い から 。	don 't want to find myself lost in your eyes .
380	少年 たち は 時々 先生 に いたずら し た もの だっ た 。	sometimes the boys would play a trick on their teacher .
391	この 冬 は １０ 年 ぶり の 寒 さ だ そう で す 。	i hear this is the coldest winter we have had in the past ten years .
393	自動 車 で 旅行 する の は 楽し い 。	it 's fun to take a trip in an automobile .
415	運 良 く 彼 は 汽車 に 間に合 っ た 。	by good luck , he was in time for the train .
423	その 計画 を 実行 する つもり な の で す ね 。	you are going to carry out the plan , aren 't you ?
429	疲れ た とき は 風呂 に 入 る の が 一番 。	when you feel tired , there is nothing like taking a bath .
439	あなた は 私 の 考え を 時代 遅れ だ と 見な し て い る 。	you look upon my idea as being behind the times .
444	先日 私 は 通り で 級友 と 会 っ た 。	the other day i met an old friend on the street .
450	どの 道 を 行 っ て も 駅 に 出 ま す 。	whichever road you may take , it will lead to the station .
462	私 の ペン は 古 い 。 新し い もの が 欲し い 。	my pen is old . i want a new one .
467	雪 が たくさん 降 っ て うれし い で す 。	we have had a lot of snow and i am very happy .
481	ホテル に 部屋 を 予約 し た か を 確かめ なさ い 。	make sure you have reserved a room at the hotel .
504	彼 は 間違 っ て コーヒー に 塩 を 入れ た 。	he put salt into his cup of coffee by mistake .
524	こんな 寒 い 日 に コート なし で は 出かけ た く な い 。	i don 't like to go out without a coat on such a cold day .
541	その 日 たまたま 会合 が あ っ た 。	it happened that there was a meeting on that day .
542	彼 は 映画 に 行 く こと は な い 。	he seldom , if ever , goes to the movies .
549	新聞 は 今日 の 世界 で 非常 に 価値 が あ り ま す 。	the newspaper is of great value in the world today .
553	ちょっと 切符 を 買 っ て くる 。	i 'm just going to run down to buy some tickets .
555	今日 は 熱 い から 僕 たち は 海 で 泳げ る よ 。	today is hot enough for us to swim in the sea .
565	私 は 父 の 仕事 に 従事 する つもり で あ る 。	i think i will occupy myself in my father 's business .
567	医者 に 行 く ため に ２、３ 時間 仕事 を 中断 し た 。	i left off work for a few hours to see the doctor .
610	駅 から 学校 まで 歩 い て ２０ 分 かか り ま す 。	it takes twenty minutes to walk from the station to school .
617	注意 し な い と 、 問題 に 巻き込 ま れ ま す よ 。	if you don 't look out , you will get into trouble .
624	彼 は 父親 の 言 う こと を ちっとも 聞 か な い 。	he never takes any notice of what his father says .
626	彼 は 知らせ を 聞 く と すぐ に 泣 き 出 し た 。	he had no sooner heard the news than he began to cry .
646	私 は 朝 早 く 散歩 する こと に し て い る 。	i make it a rule to take a walk early in the morning .
655	明日 朝 ６ 時 に 忘れ ず に 起こ し て くださ い 。	please remember to wake me up at six tomorrow morning .
667	４ 年 以上 も 音信 不通 だっ た ん だ よ 。	i haven 't heard a word from them in over four years .
671	彼 は 町中 の 人 に 知 ら れ て い る 。	he is known to all the people in the town .
697	母 の 振り を する こと は 難し く な かっ た 。	it was not difficult to pretend to be my mother .
708	先日 公園 で 会 っ た 少女 に また 会 っ た 。	i met again the girl who i had met in the park the other day .
712	あなた に 役 に 立 つ よう な 本 を 読 み な さ い 。	read such a book as will be useful to you .
728	彼 は しばしば 学校 に 遅刻 する 。	more often than not , he is late for school .
745	私 に 手 を 振 っ て い る の は 叔父 だ 。	the man who is waving to me is my uncle .
781	実 を 言 う と 、 私 達 は 昨年 結婚 し ま し た 。	to tell the truth , we got married last year .
788	他人 が 信 じ られ な かっ た とき も かつて は あ っ た 。	there was once a time when i could not trust others .
794	ここ で 暮ら す よう に な っ て から １０ 年 に な る 。	it is ten years since i came to live here .
801	私 は 叔父 を 見送り に 駅 まで 行 っ て 来 た ところ だ 。	i have just been to the station to see my uncle off .
804	日本 で は ６ 月 に 雨 が 多 い 。	in japan we have a lot of rain in june .
805	彼女 の い う こと に は 必ず メモ を 取 っ て くださ い 。	be sure to take a note of what she says .
822	彼 の 家 へ の 道 を 教え て 下さ い 。	will you kindly show me the way to his house ?
834	日曜 に は 、 よく 早起き し て 釣り に 出かけ た もの だ 。	on sunday , we would get up early go fishing .
840	彼 に 話し掛け る ほう が よ い だ ろ う 。	it would be better for you to speak to him .
848	何 日 ぐらい で 着 き ま す か 。	how many days does it usually take to get there ?
853	君 は ひとり で 泳 ぎ に いけ る 歳 で は な い 。	you are not old enough to go swimming by yourself .
864	お 茶 を 飲 ん だ 後 は 練習 を 続け な さ い 。	after you 've had some tea , carry on practising .
875	私 は 時計 を ジョン に なお し て もら う つもり だ 。	i am going to have my watch repaired by john .
878	私 の 友人 の 中 で 才能 が あ る の は 彼 だけ だ 。	he is the only one of my friends that is talented .
888	私 は 前日 無く し た 本 を 見つけ た 。	i found the book which i had lost the day before .
893	１１ 時 に な っ て る よ 、 もう 寝 る 時間 で す 。	it 's already eleven . it 's high time you were in bed .
906	近日 中 に 彼女 に また 会 う こと に な っ て い る 。	i will be seeing her again one of these days .
910	私 は いつ も 朝食 前 に 新聞 に 目 を 通 す 。	i always have a look at the newspaper before breakfast .
916	違い が 分か る に は 遅 すぎ た 。	i came to the realization too late to make a difference .
917	彼 は バイク だけ で な く 車 も 持 っ て い る 。	he 's got not only a motorbike but also a car .
921	この 車 は 以前 ほど 快調 に 走 ら な い 。	this car is running less smoothly than it used to .
927	まさか そんな こと まで 言 う 気 は な い 。	i will not go the length of saying such things .
931	彼 は 私 に 会社 を 辞め た い と い っ た 。	he told me that he wanted to leave the company .
